fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,pH,sulphates,wine type
8.2,0.24,5.1,0.062,22,3.22,0.94,red
8.2,0.24,5.1,0.062,22,3.22,0.94,red
6.2,0.7,5.1,0.076,27,3.54,0.6,red
11.2,0.5,5.15,0.1,17,3.22,0.62,red
11.3,0.62,5.2,0.086,19,3.22,0.69,red
7.4,0.785,5.2,0.094,98,3.16,0.52,red
7.4,0.785,5.2,0.094,98,3.16,0.52,red
7.4,0.64,5.4,0.168,98,3.28,0.5,red
7.8,0.645,5.5,0.086,18,3.4,0.55,red
7.1,0.43,5.5,0.07,129,3.42,0.72,red
7.1,0.43,5.5,0.071,128,3.42,0.71,red
7.1,0.43,5.5,0.07,129,3.42,0.72,red
7.1,0.43,5.5,0.071,128,3.42,0.71,red
6.6,0.725,5.5,0.117,17,3.35,0.49,red
6.6,0.725,5.5,0.117,17,3.35,0.49,red
7.2,0.48,5.5,0.089,18,3.37,0.68,red
7,0.49,5.6,0.06,121,3.34,0.76,red
8.9,0.4,5.6,0.087,47,3.38,0.77,red
8.9,0.4,5.6,0.087,47,3.38,0.77,red
6.8,0.69,5.6,0.124,58,3.46,0.72,red
6.8,0.69,5.6,0.124,58,3.46,0.72,red
6.5,0.88,5.6,0.079,47,3.58,0.5,red
7.1,0.875,5.7,0.082,14,3.4,0.52,red
12.8,0.615,5.8,0.083,42,3.07,0.73,red
12.8,0.615,5.8,0.083,42,3.07,0.73,red
12.9,0.35,5.8,0.066,35,3.2,0.66,red
9.9,0.74,5.8,0.111,76,3.14,0.55,red
7.3,0.45,5.9,0.074,87,3.33,0.83,red
7.3,0.45,5.9,0.074,87,3.33,0.83,red
8.8,0.33,5.9,0.073,13,3.3,0.62,red
7.8,0.64,6,0.115,11,3.37,0.69,red
8.4,1.035,6,0.073,54,3.37,0.49,red
6.8,0.59,6,0.06,18,3.41,0.59,red
6.8,0.59,6,0.06,18,3.41,0.59,red
7.5,0.5,6.1,0.071,102,3.35,0.8,red
7.5,0.5,6.1,0.071,102,3.35,0.8,red
8.5,0.655,6.1,0.122,151,3.31,1.14,red
6.6,0.64,6.1,0.083,49,3.35,0.68,red
11.4,0.625,6.2,0.088,24,3.11,0.99,red
8.7,0.41,6.2,0.078,42,3.24,0.77,red
10,0.41,6.2,0.071,14,3.21,0.49,red
9.5,0.46,6.3,0.064,17,3.21,0.73,red
8.5,0.4,6.3,0.05,10,3.28,0.56,red
10.3,0.32,6.4,0.073,13,3.23,0.82,red
8.6,0.37,6.4,0.08,8,3.27,0.58,red
8.6,0.37,6.4,0.08,8,3.27,0.58,red
10.4,0.44,6.55,0.074,76,3.17,0.85,red
10.4,0.44,6.55,0.074,76,3.17,0.85,red
8.6,0.725,6.6,0.117,134,3.32,1.07,red
10.7,0.9,6.6,0.112,99,3.22,0.68,red
9.9,0.4,6.7,0.097,19,3.27,0.82,red
6.9,0.63,6.7,0.235,115,3.22,0.56,red
7.5,0.65,7,0.088,94,3.38,0.77,red
7.3,0.59,7.2,0.07,121,3.37,0.49,red
7.4,0.6,7.3,0.07,121,3.37,0.49,red
15.9,0.36,7.5,0.096,71,2.98,0.84,red
6.6,0.8,7.8,0.079,12,3.52,0.5,red
6.6,0.725,7.8,0.073,79,3.29,0.54,red
6.6,0.735,7.9,0.122,124,3.47,0.53,red
6.6,0.735,7.9,0.122,124,3.47,0.53,red
8.9,0.595,7.9,0.086,109,3.27,0.57,red
7.5,0.77,8.1,0.098,92,3.2,0.58,red
7.5,0.77,8.1,0.098,92,3.2,0.58,red
6.5,0.39,8.3,0.051,91,3.44,0.55,red
7.9,0.3,8.3,0.05,278,3.01,0.51,red
7.9,0.3,8.3,0.05,289,3.01,0.51,red
6.7,0.42,8.6,0.068,148,3.16,0.57,red
6.8,0.41,8.8,0.084,45,3.38,0.64,red
6.8,0.41,8.8,0.084,45,3.38,0.64,red
9.5,0.39,8.9,0.069,39,3.29,0.81,red
9.1,0.28,9,0.114,9,3.18,0.6,red
6.9,0.605,10.7,0.073,83,3.45,0.52,red
10,0.49,11,0.071,50,3.16,0.69,red
10,0.49,11,0.071,50,3.16,0.69,red
6,0.33,12.9,0.054,113,3.3,0.56,red
5.9,0.29,13.4,0.067,160,3.33,0.54,red
9.9,0.5,13.8,0.205,82,3.16,0.75,red
9.9,0.5,13.8,0.205,82,3.16,0.75,red
5.6,0.31,13.9,0.074,92,3.39,0.48,red
10.2,0.54,15.4,0.214,95,3.18,0.77,red
10.2,0.54,15.4,0.214,95,3.18,0.77,red
10.6,0.28,15.5,0.069,23,3.12,0.66,red
7,0.27,20.7,0.045,170,3,0.45,white
6.3,0.3,1.6,0.049,132,3.3,0.49,white
8.1,0.28,6.9,0.05,97,3.26,0.44,white
7.2,0.23,8.5,0.058,186,3.19,0.4,white
7.2,0.23,8.5,0.058,186,3.19,0.4,white
8.1,0.28,6.9,0.05,97,3.26,0.44,white
6.2,0.32,7,0.045,136,3.18,0.47,white
7,0.27,20.7,0.045,170,3,0.45,white
6.3,0.3,1.6,0.049,132,3.3,0.49,white
8.1,0.22,1.5,0.044,129,3.22,0.45,white
8.1,0.27,1.45,0.033,63,2.99,0.56,white
8.6,0.23,4.2,0.035,109,3.14,0.53,white
7.9,0.18,1.2,0.04,75,3.18,0.63,white
6.6,0.16,1.5,0.044,143,3.54,0.52,white
8.3,0.42,19.25,0.04,172,2.98,0.67,white
6.6,0.17,1.5,0.032,112,3.25,0.55,white
6.3,0.48,1.1,0.046,99,3.24,0.36,white
6.2,0.66,1.2,0.029,75,3.33,0.39,white
7.4,0.34,1.1,0.033,171,3.12,0.53,white
6.5,0.31,7.5,0.044,133,3.22,0.5,white
6.2,0.66,1.2,0.029,75,3.33,0.39,white
6.4,0.31,2.9,0.038,102,3.17,0.35,white
6.8,0.26,1.7,0.049,122,3.47,0.48,white
7.6,0.67,1.5,0.074,168,3.05,0.51,white
6.6,0.27,1.3,0.052,142,3.42,0.47,white
7,0.25,9,0.046,245,3.25,0.5,white
6.9,0.24,1,0.052,146,3.45,0.44,white
7,0.28,8.7,0.051,141,3.38,0.53,white
7.4,0.27,1.1,0.047,132,3.19,0.49,white
7.2,0.32,2,0.033,114,3.1,0.71,white
8.5,0.24,10.4,0.044,142,3.2,0.53,white
8.3,0.14,1.1,0.042,47,3.47,0.4,white
7.4,0.25,2.05,0.05,100,3.19,0.44,white
6.2,0.12,1.5,0.045,117,3.42,0.51,white
5.8,0.27,14.95,0.044,179,3.37,0.37,white
7.3,0.28,1.7,0.08,123,3.19,0.42,white
6.5,0.39,5.4,0.051,149,3.24,0.35,white
7,0.33,1.2,0.053,138,3.13,0.28,white
7.3,0.24,17.95,0.057,149,3.21,0.36,white
7.3,0.24,17.95,0.057,149,3.21,0.36,white
6.7,0.23,2.5,0.172,158,3.11,0.36,white
6.7,0.24,2.9,0.173,157,3.1,0.34,white
7,0.31,7.4,0.069,160,3.13,0.46,white
6.6,0.24,1.4,0.057,152,3.22,0.56,white
6.7,0.23,1.4,0.06,154,3.24,0.56,white
7.4,0.18,1.4,0.058,167,3.16,0.53,white
6.2,0.45,4.4,0.063,206,3.27,0.52,white
6.2,0.46,4.4,0.066,207,3.25,0.52,white
7,0.31,7.4,0.069,160,3.13,0.46,white
6.9,0.19,5,0.067,150,3.36,0.48,white
7.2,0.19,1.6,0.062,173,3.35,0.44,white
6.6,0.25,1.1,0.068,124,3.34,0.58,white
6.2,0.16,1.1,0.057,82,3.32,0.46,white
6.4,0.18,1,0.045,108,3.31,0.35,white
6.8,0.2,0.9,0.147,132,3.05,0.38,white
6.9,0.25,1.3,0.039,191,3.13,0.52,white
7.2,0.21,11.9,0.043,213,3.09,0.5,white
6,0.19,12.4,0.048,147,3.3,0.36,white
6.6,0.38,4.6,0.044,78,3.11,0.38,white
7.4,0.2,1.2,0.038,111,3.36,0.34,white
6.8,0.22,4.9,0.092,123,3.03,0.46,white
6,0.19,12.4,0.048,147,3.3,0.36,white
7,0.47,1.1,0.035,151,3.02,0.34,white
6.6,0.38,4.6,0.044,78,3.11,0.38,white
7.2,0.24,1.4,0.038,122,3.15,0.46,white
6.2,0.35,1.2,0.064,120,3.22,0.54,white
6.4,0.26,6.4,0.04,124,3.22,0.49,white
6.7,0.25,1.2,0.041,174,3.14,0.42,white
6.7,0.23,2.1,0.046,96,3.33,0.64,white
7.4,0.24,10.1,0.05,105,3.13,0.35,white
6.2,0.27,7.8,0.056,244,3.1,0.51,white
6.8,0.3,4.6,0.061,238.5,3.32,0.6,white
6,0.27,4.8,0.063,201,3.69,0.71,white
8.6,0.23,1,0.054,72,2.95,0.49,white
6.7,0.23,2.1,0.046,96,3.33,0.64,white
7.4,0.24,10.1,0.05,105,3.13,0.35,white
7.1,0.18,1.4,0.043,87,3.26,0.37,white
7,0.32,1.3,0.042,69,3.31,0.65,white
7.4,0.18,8.8,0.064,103,2.94,0.56,white
6.7,0.54,5.4,0.06,105,3.27,0.37,white
6.8,0.22,1.4,0.053,114,3.39,0.77,white
7.1,0.2,16,0.05,166,3.21,0.6,white
7.1,0.34,6.1,0.063,164,3.17,0.42,white
7.3,0.22,8.2,0.047,207,3.33,0.46,white
7.1,0.43,11.8,0.045,155,3.11,0.45,white
7.1,0.44,11.8,0.044,152,3.12,0.46,white
7.2,0.39,11,0.044,156,3.09,0.44,white
6.8,0.25,13.3,0.05,202,3.22,0.48,white
7.1,0.43,11.8,0.045,155,3.11,0.45,white
7.1,0.44,11.8,0.044,152,3.12,0.46,white
7.2,0.39,11,0.044,156,3.09,0.44,white
6.1,0.27,7.5,0.049,243,3.12,0.47,white
6.9,0.24,1.7,0.035,136,3.26,0.4,white
6.9,0.21,1.8,0.034,136,3.25,0.41,white
7.5,0.17,1.7,0.04,148,3.21,0.44,white
7.1,0.26,12.4,0.044,240,3.04,0.42,white
6,0.34,15.9,0.046,164,3.14,0.5,white
8.6,0.265,1.2,0.034,80,2.95,0.36,white
9.8,0.36,10.5,0.038,83,2.89,0.3,white
6,0.34,15.9,0.046,164,3.14,0.5,white
7.4,0.25,13.5,0.06,192,3,0.44,white
7.1,0.12,9.6,0.054,162,3.4,0.41,white
6,0.21,12.1,0.05,164,3.34,0.39,white
7.5,0.305,18.9,0.059,170,2.99,0.46,white
7.4,0.25,13.5,0.06,192,3,0.44,white
7.3,0.13,14.4,0.051,109,3.2,0.35,white
7.1,0.12,9.6,0.054,162,3.4,0.41,white
7.1,0.23,16.5,0.04,171,3.16,0.59,white
7.1,0.23,16.5,0.04,171,3.16,0.59,white
6.9,0.33,1.3,0.051,187,3.27,0.6,white
6.5,0.17,8.5,0.082,163,2.89,0.39,white
7.2,0.27,18.75,0.052,255,3.04,0.52,white
7.2,0.31,13.3,0.056,195,3.01,0.47,white
6.7,0.41,9.2,0.049,150,3.22,0.51,white
6.7,0.41,9.2,0.049,150,3.22,0.51,white
5.5,0.485,1.5,0.065,103,3.63,0.4,white
6,0.31,3.3,0.041,143,3.31,0.44,white
7,0.14,1.7,0.035,85,3.19,0.42,white
7.2,0.31,13.3,0.056,195,3.01,0.47,white
7.3,0.32,13.3,0.06,196,3.04,0.5,white
5.9,0.36,5.7,0.046,87,3.22,0.51,white
7.8,0.24,12.2,0.054,138,3.01,0.54,white
7.4,0.16,6.85,0.059,131,3.29,0.34,white
6.9,0.19,5,0.058,146,3.29,0.36,white
6.4,0.13,1.6,0.092,158,3.21,0.36,white
6.7,0.19,1.1,0.026,143,3.27,0.48,white
7.4,0.39,7,0.033,126,3.14,0.42,white
6.5,0.24,7.6,0.038,203,3.45,0.54,white
6.1,0.3,2.8,0.044,179,3.3,0.57,white
6.1,0.3,2.7,0.046,184,3.31,0.57,white
5.7,0.26,10.4,0.02,57,3.39,0.37,white
6.5,0.24,7.6,0.038,203,3.45,0.54,white
6.5,0.425,13.1,0.038,241,3.23,0.57,white
6.6,0.24,15.8,0.035,188,3.24,0.51,white
6.8,0.27,8.1,0.034,203,3.19,0.52,white
6.7,0.27,15.7,0.036,179,3.26,0.56,white
8.2,0.23,1.2,0.027,121,3.12,0.38,white
7.1,0.37,10.5,0.045,155,3.16,0.44,white
6.8,0.19,1.9,0.035,96,3.15,0.54,white
8.1,0.28,1.9,0.029,79,3.23,0.52,white
6.3,0.31,2.2,0.045,77,3.3,0.43,white
7.1,0.37,10.5,0.045,155,3.16,0.44,white
7.9,0.21,1.2,0.039,107,3.21,0.54,white
8.5,0.21,4.3,0.036,99,3.18,0.53,white
8.1,0.2,2,0.037,87,3.12,0.54,white
6.3,0.255,1.1,0.04,114,3,0.39,white
5.6,0.16,1.4,0.044,168,3.28,0.37,white
6.4,0.595,5.2,0.058,97,3.38,0.36,white
6.3,0.34,4.6,0.034,80,3.38,0.58,white
6.9,0.25,4.1,0.054,116,2.99,0.38,white
7.9,0.22,8,0.043,152,3.12,0.32,white
7.6,0.18,10.2,0.055,135,3.14,0.43,white
6.9,0.25,4.1,0.054,116,2.99,0.38,white
7.2,0.18,1.2,0.048,97,3.14,0.45,white
8.2,0.23,7.5,0.049,76,3.06,0.84,white
7.4,0.24,14,0.066,198,2.89,0.42,white
7.4,0.24,14,0.066,198,2.89,0.42,white
6.1,0.32,1.5,0.036,124,3.29,0.42,white
5.2,0.44,1.4,0.036,119,3.36,0.33,white
5.2,0.44,1.4,0.036,119,3.36,0.33,white
6.1,0.32,1.5,0.036,124,3.29,0.42,white
6.4,0.22,14.5,0.055,159,2.98,0.4,white
6.3,0.36,4.8,0.049,85,3.28,0.39,white
7.4,0.24,14,0.066,198,2.89,0.42,white
6.7,0.24,13.1,0.05,205,3.15,0.5,white
7,0.23,13,0.051,177,3.16,0.49,white
8.4,0.27,8.7,0.048,197,3.14,0.59,white
6.7,0.46,2.4,0.034,98,3.08,0.44,white
7.5,0.29,8.95,0.055,151,3.08,0.54,white
9.8,0.42,9.85,0.034,110,2.87,0.29,white
7.1,0.3,1.5,0.066,133,3.12,0.54,white
7.9,0.19,1.5,0.045,96,3.13,0.39,white
7.6,0.48,0.8,0.037,100,3.03,0.39,white
6.3,0.22,4.55,0.038,130,3.35,0.33,white
7.5,0.27,17.7,0.051,173,3.09,0.64,white
6.9,0.23,7.5,0.04,151,3.11,0.27,white
7.2,0.32,5.1,0.044,65,3.03,0.41,white
5.9,0.23,12.9,0.054,170,3.28,0.39,white
6,0.67,1.2,0.06,108,3.11,0.35,white
6.4,0.25,5.5,0.049,176,3.19,0.68,white
6.4,0.33,5.5,0.048,173,3.19,0.66,white
7.1,0.34,1.2,0.053,183,3.09,0.43,white
6.8,0.28,22,0.048,167,2.93,0.5,white
6.9,0.27,14,0.05,227,3.18,0.58,white
6.8,0.26,11.9,0.043,226,3.02,0.63,white
6.8,0.29,11.9,0.043,230,3.02,0.63,white
6.7,0.24,9.4,0.04,166,3.12,0.61,white
5.9,0.3,4.2,0.038,119,3.15,0.5,white
6.8,0.53,3.8,0.034,109,3.26,0.57,white
6.5,0.28,8.5,0.047,210,3.09,0.54,white
6.6,0.28,8.5,0.052,211,3.09,0.55,white
6.8,0.28,22,0.048,167,2.93,0.5,white
6.8,0.28,8,0.045,123,3.02,0.37,white
6.6,0.15,5.1,0.055,125,3.36,0.42,white
6.4,0.29,3.6,0.2,181,3.02,0.41,white
6.4,0.3,3.5,0.197,180,3.02,0.39,white
6.4,0.29,3.6,0.197,183,3.01,0.38,white
6.8,0.26,7.8,0.052,214,3.13,0.47,white
7.1,0.32,13.1,0.05,204,3.1,0.49,white
6.8,0.26,7.8,0.052,214,3.13,0.47,white
6.8,0.27,16.1,0.049,196,3.15,0.5,white
7.1,0.32,13.1,0.05,204,3.1,0.49,white
6.9,0.54,13.2,0.05,236,3.2,0.5,white
6.8,0.26,13.9,0.034,134,3.33,0.53,white
5.8,0.28,2.3,0.053,114,3.28,0.5,white
6.4,0.21,11.6,0.042,153,3.15,0.43,white
7,0.16,8.3,0.045,126,3.21,0.34,white
10.2,0.44,6.2,0.049,124,2.99,0.51,white
6.8,0.57,2.2,0.04,77,3.32,0.74,white
6.1,0.4,0.9,0.048,170,3.22,0.77,white
5.6,0.245,9.7,0.032,68,3.31,0.34,white
6.8,0.18,1.4,0.038,111,3.32,0.59,white
7,0.16,8.3,0.045,126,3.21,0.34,white
6.7,0.13,5.3,0.051,122,3.44,0.37,white
6.2,0.25,1.4,0.03,105,3.3,0.44,white
5.8,0.26,9.2,0.044,152,3.31,0.38,white
7.5,0.27,7,0.036,164,3.03,0.33,white
5.8,0.26,9.2,0.044,152,3.31,0.38,white
5.7,0.28,17.5,0.044,167,3.31,0.44,white
7.5,0.23,7,0.036,161,3.04,0.32,white
7.5,0.27,7,0.036,164,3.03,0.33,white
7.2,0.685,9.5,0.07,172,3,0.55,white
6.2,0.25,1.4,0.03,105,3.3,0.44,white
6.5,0.19,0.8,0.043,144,3.42,0.39,white
6.3,0.495,1.8,0.046,140,3.39,0.54,white
7.1,0.24,17.8,0.046,145,3.32,0.39,white
6.4,0.17,2.4,0.048,200,3.5,0.5,white
7.1,0.25,10.3,0.041,272,3.17,0.52,white
6.4,0.17,2.4,0.048,200,3.5,0.5,white
7.1,0.24,17.8,0.046,145,3.32,0.39,white
6.8,0.64,9.7,0.062,142,3.37,0.46,white
8.3,0.28,7.8,0.041,194,3.34,0.51,white
8.2,0.27,7.8,0.039,208,3.31,0.51,white
7.2,0.23,14.3,0.058,194,3.09,0.44,white
7.2,0.23,14.3,0.058,194,3.09,0.44,white
7.2,0.23,14.3,0.058,194,3.09,0.44,white
7.2,0.23,14.3,0.058,194,3.09,0.44,white
6.8,0.52,13.2,0.044,221,3.27,0.5,white
7,0.26,1.4,0.037,120,3.34,0.41,white
6.2,0.25,15.55,0.039,159,3.48,0.64,white
7.3,0.32,13.7,0.05,197,3.2,0.46,white
7.7,0.31,7.8,0.031,90,3.13,0.5,white
7.1,0.21,2.4,0.026,100,3.15,0.38,white
6.8,0.24,2.7,0.047,218.5,3.3,0.58,white
6.9,0.4,11.2,0.043,142,3.14,0.46,white
6.1,0.18,2,0.038,249.5,3.37,0.79,white
6.8,0.21,2.1,0.03,139,3.16,0.61,white
5.8,0.2,1.4,0.031,77,3.25,0.36,white
5.6,0.19,1.4,0.03,76,3.25,0.37,white
6.1,0.41,10.4,0.037,119,3.38,0.45,white
5.9,0.21,4.6,0.053,199,3.72,0.7,white
8.5,0.26,16.2,0.074,197,3.02,0.5,white
6.9,0.4,11.2,0.043,142,3.14,0.46,white
5.8,0.24,3.5,0.029,109,3.53,0.43,white
5.8,0.24,1.5,0.054,158,3.21,0.52,white
6.7,0.26,1.1,0.04,147,3.32,0.58,white
6.3,0.35,5.7,0.035,97,3.27,0.41,white
6.3,0.35,5.7,0.035,97,3.27,0.41,white
6.4,0.23,1.8,0.032,118,3.32,0.5,white
5.8,0.36,0.9,0.037,75,3.28,0.34,white
6.9,0.115,5.4,0.048,108,3.32,0.42,white
6.9,0.29,19.45,0.043,156,2.93,0.47,white
6.9,0.28,8.2,0.036,95,3.17,0.33,white
7.2,0.29,13.6,0.045,231,3.08,0.59,white
6.2,0.24,1.2,0.038,167,3.1,0.48,white
6.9,0.29,19.45,0.043,156,2.93,0.47,white
6.9,0.32,8.3,0.053,180,3.25,0.51,white
5.3,0.58,6.9,0.043,149,3.34,0.57,white
5.3,0.585,7.1,0.044,145,3.34,0.57,white
5.4,0.59,7,0.045,147,3.34,0.57,white
6.9,0.32,8.3,0.053,180,3.25,0.51,white
5.2,0.6,7,0.044,147,3.33,0.58,white
5.8,0.25,13.1,0.051,148,3.29,0.38,white
6.6,0.58,5.1,0.057,123,3.24,0.38,white
7,0.29,10.7,0.046,234,3.05,0.61,white
6.6,0.19,8.9,0.046,169,3.14,0.57,white
6.7,0.2,9.1,0.044,166,3.14,0.58,white
7.7,0.26,1.1,0.042,60,2.89,0.5,white
6.8,0.32,1.2,0.044,67,3.05,0.47,white
7,0.3,4.7,0.036,105,3.26,0.68,white
7,0.24,2.8,0.034,112,3.19,0.38,white
6.1,0.31,5,0.039,114,3.3,0.6,white
6.8,0.44,5.1,0.047,201,3.08,0.65,white
6.7,0.34,15.6,0.054,196,3.19,0.49,white
7.1,0.35,15.4,0.055,198,3.12,0.49,white
7.3,0.32,7.2,0.056,180,3.08,0.47,white
6.5,0.28,15.7,0.053,190,3.22,0.51,white
7.2,0.23,14.2,0.058,192,2.98,0.48,white
7.2,0.23,14.2,0.058,192,2.98,0.48,white
7.2,0.23,14.2,0.058,192,2.98,0.48,white
7.2,0.23,14.2,0.058,192,2.98,0.48,white
5.9,0.15,5.8,0.041,155,3.52,0.46,white
7.4,0.28,19.8,0.066,195,2.96,0.44,white
6.2,0.28,7.3,0.041,157,3.44,0.64,white
9.1,0.59,1.6,0.066,182,3.23,0.38,white
6.3,0.33,1.2,0.046,175,3.37,0.54,white
8.3,0.39,10.6,0.045,169,3.09,0.57,white
7.2,0.19,3.8,0.041,187,3.19,0.6,white
7.5,0.17,11.3,0.046,146,3.17,0.45,white
6.7,0.17,2.1,0.043,122,3.15,0.45,white
6.1,0.41,1.6,0.063,87,3.27,0.67,white
8.3,0.2,0.9,0.05,74,3.13,0.38,white
6.1,0.41,1.6,0.063,87,3.27,0.67,white
6,0.29,1.3,0.055,168,3.32,0.43,white
7.3,0.41,6.8,0.057,163,3.2,0.41,white
7.3,0.41,6.8,0.057,163,3.2,0.41,white
7.2,0.43,6.7,0.058,163,3.2,0.41,white
7.3,0.4,6.7,0.058,166,3.2,0.41,white
6.2,0.33,4.9,0.036,134,3.2,0.42,white
6.2,0.31,4.8,0.037,148,3.21,0.41,white
6.1,0.36,2.1,0.035,100,3.4,0.71,white
5,0.55,8.3,0.032,164,3.53,0.51,white
7.8,0.25,3.7,0.042,149,3.36,0.45,white
5.7,0.36,6.7,0.038,166,3.29,0.63,white
5.8,0.34,6.6,0.04,167,3.29,0.62,white
6.8,0.28,1.1,0.132,127,3.09,0.44,white
6.8,0.25,4.7,0.031,134,3.21,0.38,white
6.6,0.24,7.7,0.031,135,3.19,0.37,white
5.9,0.3,7.85,0.03,133,3.52,0.43,white
6.1,0.125,3.3,0.04,69,3.54,0.59,white
6,0.1,1.1,0.041,65,3.61,0.61,white
6.6,0.24,7.7,0.031,135,3.19,0.37,white
6.8,0.25,4.7,0.031,134,3.21,0.38,white
6.8,0.28,9.3,0.031,137,3.16,0.36,white
8.3,0.41,2,0.046,207,3.02,0.55,white
7.5,0.27,5.8,0.057,313,3.18,0.59,white
7.9,0.26,15.15,0.04,216,2.96,0.6,white
6.4,0.34,6.3,0.039,143,3.19,0.65,white
6.5,0.28,15.4,0.042,195,3.23,0.5,white
7.2,0.21,1.3,0.036,85,3.17,0.51,white
6.4,0.32,4.8,0.03,101,3.36,0.6,white
6.8,0.24,4.6,0.032,135,3.2,0.39,white
6.3,0.23,1.8,0.033,91,3.28,0.4,white
6.5,0.28,9.9,0.038,133,3.11,0.44,white
5.6,0.26,5.7,0.031,80,3.25,0.38,white
6.3,0.23,1.8,0.033,91,3.28,0.4,white
6.3,0.23,1.5,0.036,105,3.32,0.42,white
5.8,0.27,12.3,0.045,170,3.28,0.42,white
5.9,0.26,1.3,0.047,139,3.45,0.53,white
6.6,0.18,1.5,0.049,141,3.43,0.85,white
7.4,0.2,7.8,0.045,153,3.19,0.55,white
8,0.24,1.5,0.047,129,3.2,0.54,white
6.4,0.26,9.7,0.044,140,3.18,0.47,white
5.4,0.31,3,0.053,144,3.29,0.76,white
5.4,0.29,3,0.052,145,3.29,0.75,white
7.1,0.145,4.6,0.05,131,3.28,0.4,white
5.6,0.34,1.3,0.031,68,3.36,0.51,white
6.7,0.19,15.6,0.056,155,3.2,0.44,white
7.8,0.18,13.6,0.052,118,3.15,0.5,white
7.6,0.17,11.2,0.054,137,3.15,0.47,white
6.3,0.12,2.1,0.044,146,3.27,0.74,white
7.3,0.33,6.85,0.038,138,3.03,0.3,white
5.5,0.335,2.5,0.071,128,3.14,0.51,white
7.3,0.33,6.85,0.038,138,3.03,0.3,white
5.8,0.4,4.4,0.047,245,3.25,0.57,white
7.3,0.22,14.3,0.063,191,2.89,0.38,white
7.3,0.22,14.3,0.063,191,2.89,0.38,white
6.1,0.36,1.1,0.05,169,3.15,0.78,white
10,0.2,1.4,0.05,152,3,0.42,white
6.9,0.24,4.7,0.04,161,3.2,0.59,white
6.4,0.24,14.9,0.047,162,3.28,0.5,white
7.1,0.365,1.2,0.055,84,3.15,0.43,white
6.8,0.15,5.3,0.05,127,3.4,0.39,white
7.3,0.22,14.3,0.063,191,2.89,0.38,white
6.8,0.16,2.3,0.037,102,3.49,0.42,white
6,0.26,3.5,0.028,113,3.4,0.71,white
6,0.18,1.5,0.089,143,3.49,0.62,white
6.9,0.33,1,0.053,148,3.12,0.45,white
7.7,0.29,2.3,0.049,178,3.17,0.64,white
7.1,0.39,12.5,0.044,72,3.17,0.29,white
6.9,0.33,1,0.053,148,3.12,0.45,white
7.7,0.29,2.3,0.049,178,3.17,0.64,white
6.6,0.905,0.8,0.048,204,3.34,0.56,white
7.2,0.27,2.4,0.048,149,3.1,0.51,white
5.1,0.33,1.6,0.027,89,3.51,0.38,white
5.1,0.33,1.6,0.027,89,3.51,0.38,white
6.4,0.31,1.5,0.037,119,3.32,0.51,white
7.3,0.2,1.4,0.045,98,3.15,0.46,white
5.7,0.32,2.6,0.049,155,3.22,0.64,white
6.4,0.31,1.5,0.037,119,3.32,0.51,white
7.3,0.2,1.4,0.045,98,3.15,0.46,white
7.2,0.28,12.5,0.046,179,3.1,0.52,white
7.5,0.35,9.6,0.051,157,3.12,0.53,white
7.2,0.27,2.4,0.048,149,3.1,0.51,white
6,0.36,3.2,0.027,125,3.38,0.39,white
5.1,0.33,1.6,0.027,89,3.51,0.38,white
5,0.17,1.5,0.026,115,3.48,0.39,white
6.3,0.39,5.9,0.04,260,3.12,0.66,white
6.7,0.21,5.4,0.047,140,3.39,0.46,white
7,0.3,14.9,0.032,181,3.18,0.61,white
7,0.3,14.9,0.032,181,3.18,0.61,white
6.5,0.36,1.1,0.031,66,3.1,0.46,white
6.1,0.55,9.8,0.031,125,3.36,0.47,white
7.3,0.24,2,0.021,69,3.08,0.56,white
6.8,0.37,11.8,0.044,163,3.19,0.44,white
6.8,0.27,1.3,0.04,168,3.18,0.41,white
8.2,0.28,1.8,0.031,93,3.09,0.39,white
6.3,0.2,1.5,0.037,107,3.46,0.5,white
5.9,0.26,18.2,0.048,168,3.35,0.44,white
6.4,0.19,2.9,0.032,83,3.3,0.41,white
6.3,0.2,1.5,0.037,107,3.46,0.5,white
6.8,0.37,11.8,0.044,163,3.19,0.44,white
6.1,0.35,1.4,0.069,108,3.23,0.52,white
7.1,0.27,18.2,0.046,252,3.07,0.56,white
6.8,0.22,6.3,0.035,170,3.24,0.66,white
6.8,0.27,1.3,0.04,168,3.18,0.41,white
5.8,0.28,4,0.031,99,3.39,0.39,white
6.9,0.49,1.2,0.049,125,3.17,0.51,white
6.3,0.14,1.2,0.044,116,3.26,0.53,white
8.2,0.28,1.8,0.031,93,3.09,0.39,white
7.2,0.25,18.95,0.038,155,2.97,0.47,white
7.3,0.28,12.7,0.04,140,3.3,0.79,white
7.2,0.19,1.2,0.036,85,3.16,0.5,white
7.2,0.19,1.2,0.036,85,3.16,0.5,white
7.2,0.25,18.95,0.038,155,2.97,0.47,white
7.3,0.28,12.7,0.04,140,3.3,0.79,white
7.4,0.21,1.2,0.041,99,3.19,0.33,white
6.8,0.26,7.7,0.047,210,3.1,0.47,white
7.4,0.21,1.2,0.041,99,3.19,0.33,white
7.4,0.31,1.6,0.05,137,3.31,0.56,white
7,0.22,2.7,0.03,136,3.16,0.37,white
7,0.21,8.7,0.045,222,3.25,0.54,white
